id_inst;nombre_inst;id_depa;nombre_depa;id_muni;nombre_muni;telefono
1202;UNIVERSIDAD DEL ATLANTICO;Atlántico;Atlántico;8573;Puerto Colombia;3197010
1203;UNIVERSIDAD DEL VALLE;Valle del Cauca;Valle del Cauca;76001;Cali;3212100
1204;UNIVERSIDAD INDUSTRIAL DE SANTANDER;Santander;Santander;68001;Bucaramanga;6344000
1205;UNIVERSIDAD DE CARTAGENA;Bolívar;Bolívar;13001;Cartagena de Indias;6600676
1206;UNIVERSIDAD DE NARIÑO;Nariño;Nariño;52001;Pasto;7313604
1207;UNIVERSIDAD DEL TOLIMA;Tolima;Tolima;73001;Ibagué;2644219
1208;UNIVERSIDAD DEL QUINDIO;Quindío;Quindío;63001;Armenia;7460103
1209;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;Norte de Santander;Norte de Santander;54001;San José de Cúcuta;5753172
1210;UNIVERSIDAD FRANCISCO DE PAULA SANTANDER;Norte de Santander;Norte de Santander;54498;Ocaña;5692199
1212;UNIVERSIDAD DE PAMPLONA;Norte de Santander;Norte de Santander;54518;Pamplona;6853003
1213;UNIVERSIDAD DEL MAGDALENA - UNIMAGDALENA;Magdalena;Magdalena;47001;Santa Marta;4301292
1214;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Cundinamarca;Cundinamarca;25290;Fusagasugá;8281483
1215;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Cundinamarca;Cundinamarca;25307;Girardot;8335071
1216;UNIVERSIDAD DE CUNDINAMARCA-UDEC;Cundinamarca;Cundinamarca;25843;Villa de San Diego de Ubate;8553055
1217;UNIVERSIDAD DE SUCRE;Sucre;Sucre;70001;Sincelejo;2821240
1218;UNIVERSIDAD DE LA GUAJIRA;La Guajira;La Guajira;44001;Riohacha;7822729
1219;UNIVERSIDAD DE ANTIOQUIA;Antioquia;Antioquia;5148;El Carmen de Viboral;5311177
1220;UNIVERSIDAD DE ANTIOQUIA;Antioquia;Antioquia;5034;Andes;8418052
1221;UNIVERSIDAD DE ANTIOQUIA;Antioquia;Antioquia;5154;Caucasia;8395350
1222;UNIVERSIDAD DE ANTIOQUIA;Antioquia;Antioquia;5579;Puerto Berrío;8333522
1223;UNIVERSIDAD DE ANTIOQUIA;Antioquia;Antioquia;5837;Turbo;8272588
1301;UNIVERSIDAD DISTRITAL-FRANCISCO JOSE DE CALDAS;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3239300
1701;PONTIFICIA UNIVERSIDAD JAVERIANA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3208130
1702;PONTIFICIA UNIVERSIDAD JAVERIANA;Valle del Cauca;Valle del Cauca;76001;Cali;3218200
1703;UNIVERSIDAD INCCA DE COLOMBIA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;4442000
1704;UNIVERSIDAD SANTO TOMAS;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;5878797
1705;UNIVERSIDAD SANTO TOMAS;Santander;Santander;68001;Bucaramanga;6716482
1706;UNIVERSIDAD EXTERNADO DE COLOMBIA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3420288
1707;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3341777
1708;FUNDACION UNIVERSIDAD DE BOGOTA - JORGE TADEO LOZANO;Bolívar;Bolívar;13001;Cartagena de Indias;6600578
1709;UNIVERSIDAD CENTRAL;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3239868
1710;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Antioquia;Antioquia;5001;Medellín;4488388
1711;UNIVERSIDAD DE LA SABANA;Cundinamarca;Cundinamarca;25175;Chía;8615555
1712;UNIVERSIDAD EAFIT-;Antioquia;Antioquia;5001;Medellín;2619500
1713;UNIVERSIDAD DEL NORTE;Atlántico;Atlántico;8001;Barranquilla;3509388
1714;COLEGIO MAYOR DE NUESTRA SEÑORA DEL ROSARIO;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;2970200
1715;FUNDACION UNIVERSIDAD DE AMERICA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3376680
1716;UNIVERSIDAD DE SAN BUENAVENTURA;Valle del Cauca;Valle del Cauca;76001;Cali;3182200
1717;UNIVERSIDAD DE SAN BUENAVENTURA;Antioquia;Antioquia;5001;Medellín;4500323
1718;UNIVERSIDAD DE SAN BUENAVENTURA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;6671090
1719;UNIVERSIDAD CATOLICA DE COLOMBIA;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3277300
1720;UNIVERSIDAD MARIANA;Nariño;Nariño;52001;Pasto;7314923
1722;UNIVERSIDAD DE MANIZALES;Caldas;Caldas;17001;Manizales;8879680
1723;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Santander;Santander;68001;Bucaramanga;6796220
1724;UNIVERSIDAD DE SAN BUENAVENTURA;Bolívar;Bolívar;13001;Cartagena de Indias;6539599
1725;FUNDACION UNIVERSIDAD AUTONOMA DE COLOMBIA -FUAC-;Bogotá D.C.;Bogotá D.C.;11001;Bogotá D.C.;3343696
1726;UNIVERSIDAD CATOLICA DE ORIENTE -UCO;Antioquia;Antioquia;5615;Rionegro;5699090
1727;UNIVERSIDAD PONTIFICIA BOLIVARIANA;Córdoba;Córdoba;23001;Montería;7905088
